Rank,Title,URL,Score,Genres,Episodes,Premiered,Studio,Type,Source
1,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,9.32,"Adventure, Drama, Fantasy, Shounen",28,Fall 2023,Madhouse,TV,Manga
2,One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,9.17,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Toei Animation,TV Special,Light novel
3,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.09,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,Spring 2009,Bones,TV,Manga
4,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.07,"Drama, Sci-Fi, Suspense, Psychological, Time Travel",24,Spring 2011,White Fox,TV,Source not found
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.05,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",10,Spring 2019,Wit Studio,TV,Manga
6,Gintama°,https://myanimelist.net/anime/28977/Gintama%C2%B0,9.05,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",51,Spring 2015,Bandai Namco Pictures,TV,Manga
7,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.04,"Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",1,Premiered season not found,Bandai Namco Pictures,Movie,Manga
8,Gintama',https://myanimelist.net/anime/9969/Gintama,9.03,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",51,Spring 2011,Sunrise,TV,Manga
9,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.03,"Action, Adventure, Fantasy, Shounen",148,Fall 2011,Madhouse,TV,Manga
10,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.02,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",13,Fall 2012,Sunrise,TV,Manga
11,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,9.01,"Action, Adventure, Supernatural, Shounen",13,Fall 2022,Pierrot,TV,Manga
12,Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,9.01,"Action, Adventure, Supernatural, Shounen",Unknown,Fall 2024,Pierrot Films,TV,Manga
13,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.01,"Drama, Sci-Fi, Adult Cast, Military, Space",110,Premiered season not found,K-Factory,OVA,Source not found
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,9.0,"Comedy, Romance, School, Seinen",13,Spring 2022,A-1 Pictures,TV,Manga
15,Gintama.,https://myanimelist.net/anime/34096/Gintama,8.98,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",12,Winter 2017,Bandai Namco Pictures,TV,Manga
16,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,8.96,"Drama, Romance, Supernatural, Shoujo",13,Spring 2021,TMS Entertainment,TV,Manga
17,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.93,"Drama, Romance, Supernatural",24,Fall 2008,Kyoto Animation,TV,Source not found
18,Gintama,https://myanimelist.net/anime/918/Gintama,8.93,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",201,Spring 2006,Sunrise,TV,Manga
19,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.93,"Award Winning, Drama, Shounen",1,Premiered season not found,Kyoto Animation,Movie,Manga
20,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.91,"Drama, Childcare, Strategy Game, Seinen",22,Fall 2017,Shaft,TV,Manga
21,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power",25,Spring 2008,Sunrise,TV,Source not found
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.9,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Time Travel, Shounen",1,Premiered season not found,Sunrise,Movie,Manga
23,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,8.89,"Drama, Mystery, Historical, Medical",24,Fall 2023,OLM,TV,Light novel
24,Look Back,https://myanimelist.net/anime/58125/Look_Back,8.89,"Drama, Otaku Culture, Shounen",1,Premiered season not found,Studio DURIAN,Movie,Manga
25,Monster,https://myanimelist.net/anime/19/Monster,8.88,"Drama, Mystery, Suspense, Adult Cast, Psychological, Seinen",74,Spring 2004,Madhouse,TV,Manga
26,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season,8.88,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel",16,Fall 2024,White Fox,TV,Light novel
27,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",14,Summer 2018,Bandai Namco Pictures,TV,Manga
28,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.87,"Comedy, Mystery, Supernatural, Vampire",7,Premiered season not found,Shaft,TV Special,Light novel
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,8.87,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",2,Premiered season not found,MAPPA,TV Special,Manga
30,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.85,"Award Winning, Drama",1,Premiered season not found,Kyoto Animation,Movie,Light novel
31,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.83,"Award Winning, Drama",1,Premiered season not found,CoMix Wave Films,Movie,Source not found
32,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.83,"Action, Historical, Military, Seinen",26,Spring 2020,Pierrot,TV,Manga
33,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,8.81,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",12,Winter 2018,Bandai Namco Pictures,TV,Manga
34,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,8.81,"Action, Adventure, Drama, Gore, Historical, Seinen",24,Winter 2023,MAPPA,TV,Manga
35,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8.79,"Action, Supernatural, Gore, School, Shounen",23,Summer 2023,MAPPA,TV,Manga
36,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.79,"Action, Comedy, Supernatural",13,Winter 2019,Bones,TV,Web manga
37,Monogatari Series: Off & Monster Season,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,8.79,"Comedy, Mystery, Supernatural, Vampire",14,Premiered season not found,Shaft,ONA,Light novel
38,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,8.79,"Comedy, Romance, School, Shounen",13,Winter 2024,Shin-Ei Animation,TV,Manga
39,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.78,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",16,Winter 2021,MAPPA,TV,Manga
40,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.78,"Action, Mystery, Supernatural, Vampire",1,Premiered season not found,Shaft,Movie,Light novel
41,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,8.77,"Comedy, CGDCT, Music",12,Fall 2022,CloverWorks,TV,4-koma manga
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.77,"Sports, School, Team Sports, Shounen",10,Fall 2016,Production I.G,TV,Manga
43,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,8.77,"Sports, Combat Sports, Shounen",75,Fall 2000,Madhouse,TV,Manga
44,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.77,"Adventure, Award Winning, Fantasy, Mythology",1,Premiered season not found,Studio Ghibli,Movie,Source not found
45,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.76,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",12,Winter 2022,MAPPA,TV,Manga
46,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.76,"Action, Adventure, Drama, Gore, Historical, Seinen",24,Summer 2019,Wit Studio,TV,Manga
47,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.76,"Comedy, Mystery, Romance, Supernatural, Vampire",26,Summer 2013,Shaft,TV,Light novel
48,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.75,"Comedy, Drama, Romance, School, Seinen",1,Premiered season not found,A-1 Pictures,Movie,Manga
49,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75,"Action, Award Winning, Sci-Fi, Adult Cast, Space",26,Spring 1998,Sunrise,TV,Source not found
50,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,8.74,"Award Winning, Sports, School, Team Sports, Shounen",1,Premiered season not found,Toei Animation,Movie,Manga
51,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,8.73,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",11,Premiered season not found,LAN Studio,ONA,Source not found
52,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.73,"Drama, Sports, Combat Sports, Shounen",47,Fall 1980,Tokyo Movie Shinsha,TV,Manga
53,Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,8.73,"Drama, Music, Performing Arts, School",13,Spring 2024,Kyoto Animation,TV,Source not found
54,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.73,"Action, Supernatural, Historical, Shounen",11,Winter 2022,ufotable,TV,Manga
55,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,8.73,"Action, Historical, Military, Seinen",26,Spring 2022,Pierrot,TV,Manga
56,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,8.73,"Action, Historical, Military, Seinen",13,Winter 2024,Pierrot,TV,Manga
57,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,8.72,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",10,Fall 2014,Artland,TV,Manga
58,One Piece,https://myanimelist.net/anime/21/One_Piece,8.72,"Action, Adventure, Fantasy, Shounen",Unknown,Fall 1999,Toei Animation,TV,Manga
59,Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,8.71,"Action, Comedy, Supernatural",12,Fall 2022,Bones,TV,Web manga
60,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,8.71,"Drama, Adult Cast, Historical, Love Polygon, Performing Arts, Josei",12,Winter 2017,Studio Deen,TV,Manga
61,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,8.71,"Action, Drama, Sci-Fi, Mecha, Military",12,Fall 2021,A-1 Pictures,TV,Light novel
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,8.7,"Action, Adventure, Supernatural, Shounen",13,Summer 2023,Pierrot,TV,Manga
63,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,8.7,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, School, Super Power",25,Fall 2006,Sunrise,TV,Source not found
64,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,8.7,"Action, Drama, Romance, Adult Cast, Historical, Samurai, Shounen",4,Premiered season not found,Studio Deen,OVA,Manga
65,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,8.69,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",10,Spring 2014,Artland,TV,Manga
66,Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,8.68,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",12,Premiered season not found,B.CMAY PICTURES,ONA,Source not found
67,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,8.68,"Comedy, Delinquents, School, Workplace, Shounen",43,Summer 1999,Pierrot,TV,Manga
68,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,8.68,Drama,13,Winter 2018,Kyoto Animation,TV,Light novel
69,Tian Guan Cifu Er,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,8.67,"Action, Adventure, Drama, Fantasy, Historical, Mythology",12,Premiered season not found,Red Dog Culture House,ONA,Source not found
70,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,8.67,"Sports, Combat Sports, Shounen",26,Winter 2009,Madhouse,TV,Manga
71,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,8.67,"Adventure, Award Winning, Drama, Fantasy, Romance",1,Premiered season not found,Studio Ghibli,Movie,Source not found
72,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,8.66,"Action, Adventure, Award Winning, Fantasy",1,Premiered season not found,Studio Ghibli,Movie,Source not found
73,Mushishi,https://myanimelist.net/anime/457/Mushishi,8.65,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",26,Fall 2005,Artland,TV,Manga
74,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8.65,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation",12,Fall 2021,Studio Bind,TV,Light novel
75,Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,8.65,"Award Winning, Drama, Mystery, Suspense, Adult Cast, Anthropomorphic, Organized Crime",13,Spring 2021,OLM,TV,Source not found
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,8.65,"Action, Fantasy, Urban Fantasy",1,Premiered season not found,ufotable,Movie,Source not found
77,Haikyuu!! Movie: Gomisuteba no Kessen,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,8.65,"Sports, School, Team Sports, Shounen",1,Premiered season not found,Production I.G,Movie,Manga
78,"""Oshi no Ko"" 2nd Season",https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,8.64,"Drama, Reincarnation, Showbiz, Seinen",13,Summer 2024,Doga Kobo,TV,Manga
79,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,8.64,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",13,Summer 2017,Kinema Citrus,TV,Web manga
80,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,8.64,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",13,Winter 2012,Brain's Base,TV,Manga
81,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,8.64,"Drama, Romance, Love Polygon, Music, School, Shounen",22,Fall 2014,A-1 Pictures,TV,Manga
82,Shiguang Dailiren II,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,8.63,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",12,Premiered season not found,LAN Studio,ONA,Source not found
83,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,8.63,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",12,Summer 2018,Wit Studio,TV,Manga
84,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,8.63,"Action, Adventure, Award Winning, Sci-Fi, Mecha",27,Spring 2007,Gainax,TV,Source not found
85,Bungou Stray Dogs 5th Season,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,8.63,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Vampire, Seinen",11,Summer 2023,Bones,TV,Manga
86,Dandadan,https://myanimelist.net/anime/57334/Dandadan,8.62,"Action, Comedy, Supernatural, Shounen",12,Fall 2024,Science SARU,TV,Manga
87,Death Note,https://myanimelist.net/anime/1535/Death_Note,8.62,"Supernatural, Suspense, Psychological, Shounen",37,Fall 2006,Madhouse,TV,Manga
88,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,8.62,"Sports, School, Team Sports, Shounen",25,Fall 2015,Production I.G,TV,Manga
89,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,8.62,"Comedy, Romance, School, Seinen",12,Spring 2020,A-1 Pictures,TV,Manga
90,Made in Abyss: Retsujitsu no Ougonkyou,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,8.62,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",12,Summer 2022,Kinema Citrus,TV,Web manga
91,Natsume Yuujinchou Shichi,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,8.62,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",12,Fall 2024,Shuka,TV,Manga
92,Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,8.62,"Award Winning, Drama, Sports, Seinen",11,Spring 2014,Tatsunoko Production,TV,Manga
93,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,8.61,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",1,Premiered season not found,Kinema Citrus,Movie,Web manga
94,Natsume Yuujinchou Roku,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,8.61,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",11,Spring 2017,Shuka,TV,Manga
95,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,8.61,"Award Winning, Drama, Reincarnation, Showbiz, Seinen",11,Spring 2023,Doga Kobo,TV,Manga
96,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,8.61,"Action, Sci-Fi, Gore, Organized Crime",10,Premiered season not found,Trigger,ONA,Source not found
97,Dungeon Meshi,https://myanimelist.net/anime/52701/Dungeon_Meshi,8.61,"Adventure, Comedy, Fantasy, Gourmet, Seinen",24,Winter 2024,Trigger,TV,Manga
98,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,8.6,"Sports, Combat Sports, Shounen",25,Fall 2013,Madhouse,TV,Manga
99,Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,8.6,"Award Winning, Mystery, Sci-Fi, Supernatural, School",1,Premiered season not found,Kyoto Animation,Movie,Light novel
101,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,8.59,"Action, Sci-Fi, Mecha, Space, Super Power",1,Premiered season not found,Gainax,Movie,Source not found
102,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,8.59,"Action, Adventure, Drama, Fantasy, Horror, Gore, Military, Seinen",25,Fall 1997,OLM,TV,Manga
103,Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,8.59,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",1,Premiered season not found,Artland,Movie,Manga
104,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,8.59,"Drama, Romance, Supernatural, School",1,Premiered season not found,CloverWorks,Movie,Light novel
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,8.58,"Action, Adventure, Organized Crime, Super Power, Shounen",39,Fall 2018,David Production,TV,Manga
106,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,8.58,"Action, Award Winning, Supernatural, School, Shounen",24,Fall 2020,MAPPA,TV,Manga
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,8.57,"Action, Supernatural, Historical, Shounen",1,Premiered season not found,ufotable,Movie,Manga
108,Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,8.57,"Action, Mystery, Supernatural, Vampire",1,Premiered season not found,Shaft,Movie,Light novel
109,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,8.57,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",13,Summer 2011,Brain's Base,TV,Manga
110,Doupo Cangqiong: San Nian Zhi Yue,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue,8.57,"Action, Fantasy, Martial Arts",13,Premiered season not found,Motion Magic,ONA,Source not found
111,Kimi ni Todoke 3rd Season,https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season,8.56,"Drama, Romance, School, Shoujo",5,Premiered season not found,Production I.G,ONA,Manga
112,Nana,https://myanimelist.net/anime/877/Nana,8.56,"Drama, Romance, Adult Cast, Love Polygon, Music, Shoujo",47,Spring 2006,Madhouse,TV,Manga
113,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,8.56,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",11,Fall 2016,Shuka,TV,Manga
114,Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,8.56,"Award Winning, Slice of Life, Supernatural, Childcare",1,Premiered season not found,Studio Chizu,Movie,Source not found
115,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,8.56,"Award Winning, Comedy, Mystery, Romance, Suspense, Adult Cast, Psychological, Time Travel",11,Spring 2010,Madhouse,TV,Source not found
116,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,8.55,"Action, Award Winning, Drama, Suspense, Gore, Military, Survival, Shounen",25,Spring 2013,Wit Studio,TV,Manga
117,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,8.55,"Action, Avant Garde, Drama, Sci-Fi, Suspense, Mecha, Psychological",1,Premiered season not found,Gainax,Movie,Source not found
118,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,8.55,"Drama, Historical, Love Polygon, Performing Arts, Josei",13,Winter 2016,Studio Deen,TV,Manga
119,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,8.55,"Sports, School, Team Sports, Shounen",101,Fall 1993,Toei Animation,TV,Manga
120,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,8.55,"Sports, School, Team Sports, Shounen",12,Fall 2020,Production I.G,TV,Manga
121,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,8.55,"Drama, Romance, School",1,Premiered season not found,Studio VOLN,Movie,Source not found
122,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,8.55,"Avant Garde, Award Winning, Drama, Horror, Suspense, Adult Cast, Psychological, Showbiz",1,Premiered season not found,Madhouse,Movie,Source not found
123,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,8.54,"Action, Adventure, Super Power, Shounen",14,Premiered season not found,David Production,ONA,Manga
124,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,8.54,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",13,Winter 2009,Brain's Base,TV,Manga
125,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,8.54,"Action, Fantasy, Urban Fantasy",12,Spring 2012,ufotable,TV,Light novel
125,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,8.54,"Action, Fantasy, Urban Fantasy",12,Spring 2012,ufotable,TV,Light novel
126,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,8.54,"Drama, Romance, Supernatural, School, Shoujo",25,Spring 2020,TMS Entertainment,TV,Manga
126,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,8.54,"Drama, Romance, Supernatural, School, Shoujo",25,Spring 2020,TMS Entertainment,TV,Manga
127,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,8.53,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",1,Premiered season not found,Artland,TV Special,Manga
127,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,8.53,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",1,Premiered season not found,Artland,TV Special,Manga
